Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACATE ;6472;2360;43;141
CHIARAMONTE GULFI ;7316;2986;52;194
COMISO ;24934;9315;124;542
GIARRATANA ;3237;1199;23;76
ISPICA ;12746;6373;90;592
MODICA ;45148;19287;302;1708
MONTEROSSO ALMO ;2941;1189;22;70
POZZALLO ;16561;5680;77;414
RAGUSA ;60470;26120;205;1356
SANTA CROCE CAMERINA ;7517;2895;67;225
SCICLI ;21242;8317;101;814
VITTORIA ;47466;16852;256;1090
